,Label,year,content_length,aver_word_length
193,1,2023,2097,6.705882353
194,1,2023,1734,6.908675799
195,1,2023,1870,6.11026616
196,1,2023,2304,7.498154982
197,1,2023,907,6.686440678
198,1,2023,2384,6.943143813
199,1,2023,1576,6.84
200,1,2023,1617,6.844660194
201,1,2023,2032,6.159010601
202,1,2023,2213,6.677083333
203,1,2023,3008,7.747093023
204,1,2023,2144,6.208754209
205,1,2023,2372,7.854477612
206,1,2023,2401,6.849673203
207,1,2023,1348,6.137566138
208,1,2023,2364,7
209,1,2023,4278,6.417391304
210,1,2023,1383,6.598901099
211,1,2023,1818,7.08
212,1,2023,679,6.617977528
213,1,2023,1761,7.195348837
214,1,2023,875,6.551724138
215,1,2023,1172,6.417721519
216,1,2023,1236,6.980645161
217,1,2023,5815,6.56046814
218,1,2023,3731,6.754166667
219,1,2023,3310,6.617511521
220,1,2023,3736,6.767151767
221,1,2023,1741,5.744186047
222,1,2023,3219,6.714628297
223,1,2023,2665,6.826470588
224,1,2023,1280,5.913513514
225,1,2023,3678,7.043859649
226,1,2023,2832,6.610215054
227,1,2023,4264,6.481546573
228,1,2023,2361,6.246153846
229,1,2023,778,7.265957447
230,1,2023,1736,6.72
231,1,2023,3691,5.102990033
232,1,2023,1251,5.261306533
233,1,2023,1184,6.814569536
234,1,2023,3567,6.491596639
235,1,2023,1607,6.935643564
236,1,2023,1565,6.825
237,1,2023,9233,6.862745098
238,1,2023,1015,6.717557252
239,1,2023,1772,7.473684211
240,1,2023,3037,7.409972299
241,1,2023,1351,6.553072626
242,1,2023,2119,7.162162162
243,1,2023,2232,7.324626866
244,1,2023,1417,7.524096386
245,1,2023,1236,7.071895425
246,1,2023,2554,6.861538462
247,1,2023,1644,6.791469194
248,1,2023,1778,6.330578512
249,1,2023,941,6.401574803
250,1,2023,3004,6.660714286
251,1,2023,4123,6.858778626
252,1,2023,1475,6.525510204
253,1,2023,1540,6.93814433
254,1,2023,4416,6.339434276
255,1,2023,1651,6.375
256,1,2023,1327,6.670520231
257,1,2023,6797,6.953161593
258,1,2023,2220,7.498084291
259,1,2023,1227,6.716981132
260,1,2023,2324,6.808080808
261,1,2023,1239,7.019480519
262,1,2023,1651,7.255
263,1,2023,1608,6.535211268
264,1,2023,4406,6.994545455
265,1,2023,1468,6.523076923
266,1,2023,4802,6.935430464
267,1,2023,782,6.676470588
268,1,2023,2988,6.6342711
269,1,2023,1699,6.739726027
270,1,2023,49,6.142857143
271,1,2023,1231,6.742138365
272,1,2023,7988,6.952143569
273,1,2023,14174,6.926733781
274,1,2023,2919,6.870619946
275,1,2023,824,6.710280374
276,1,2023,3344,6.112765957
277,1,2023,1015,6.807692308
278,1,2023,2569,6.356321839
279,1,2023,663,7.61038961
280,1,2023,547,7.257575758
281,1,2023,1004,6.077464789
282,1,2023,2490,7.245033113
283,1,2023,2614,5.796875
284,1,2023,1101,6.389261745
285,1,2023,654,5.957446809
286,1,2023,1855,5.866666667
287,1,2023,843,7.356435644
288,1,2023,2670,6.735465116
289,1,2023,2055,6.48540146
290,1,2023,8696,6.220649459
291,1,2023,1096,6.870503597
292,1,2023,2336,7.273049645
293,1,2023,1090,6.421768707
294,1,2023,2468,6.703125
295,1,2023,1384,6.81920904
296,1,2023,3424,6.587583149
297,1,2023,1124,7.380597015
298,1,2023,1947,6.568093385
299,1,2023,1423,6.850828729
300,1,2023,647,6.78313253
301,1,2023,792,6.625
302,1,2023,1454,6.291457286
303,1,2023,3691,6.457489879
304,1,2023,1096,6.412162162
305,1,2023,7743,6.060218978
306,1,2023,1632,7.5
307,1,2023,970,6.768
308,1,2023,532,6.507042254
309,1,2022,3398,6.725
310,1,2022,3291,7.474226804
311,1,2022,726,6.188118812
312,1,2022,1381,7.171597633
313,1,2022,3238,6.523255814
314,1,2022,1219,6.559006211
315,1,2022,18615,7.062065972
316,1,2022,1227,7.013071895
317,1,2022,1514,6.107981221
318,1,2022,2171,6.550522648
319,1,2022,602,6.304878049
320,1,2022,561,7.130434783
321,1,2022,1057,6.873134328
322,1,2022,923,6.636363636
323,1,2022,3182,7.07106599
324,1,2022,2585,6.966049383
325,1,2022,7070,7.263157895
326,1,2022,1309,6.963414634
327,1,2022,11322,6.00123839
328,1,2022,5121,6.961119751
329,1,2022,4752,7.451957295
330,1,2022,1086,6.647887324
331,1,2022,732,6.404040404
332,1,2022,1986,6.955823293
333,1,2022,2268,5.914634146
334,1,2022,1244,6.823899371
335,1,2022,947,6.699186992
336,1,2022,6710,6.688863375
337,1,2022,808,7.793478261
338,1,2022,5361,6.915805022
339,1,2022,5369,6.59886202
340,1,2022,891,6.177419355
341,1,2022,1421,6.598930481
342,1,2022,1175,6.898648649
343,1,2022,10837,7.419003115
344,1,2022,1517,7.194594595
345,1,2022,1718,7.426470588
346,1,2022,1566,7.419354839
347,1,2022,3697,7.10745614
348,1,2022,5542,6.971223022
349,1,2022,1311,6.485714286
350,1,2022,1156,6.611842105
351,1,2022,2176,7.055555556
352,1,2022,1471,6.505102041
353,1,2022,1187,6.789473684
354,1,2022,1456,7.139664804
355,1,2022,566,6.350649351
356,1,2022,4292,6.780399274
357,1,2022,700,6.788888889
358,1,2022,2811,5.527906977
359,1,2022,2121,6.225255973
360,1,2022,3159,7.898591549
361,1,2022,1968,7.195833333
362,1,2022,475,6.786885246
363,1,2022,2726,6.791428571
364,1,2022,1783,7.109090909
365,1,2022,3669,6.733615222
366,1,2022,1809,7.474178404
367,1,2022,1106,6.634482759
368,1,2022,1257,6.201149425
369,1,2022,4459,7
370,1,2022,1297,6.584795322
371,1,2022,2043,8.066666667
372,1,2022,2824,6.985795455
373,1,2022,1937,7.880733945
374,1,2022,6832,6.877598152
375,1,2022,577,6.783783784
376,1,2022,1587,6.807881773
377,1,2022,642,7.139240506
378,1,2022,1095,7.430769231
379,1,2022,1778,7.417061611
380,1,2022,5530,7.605919003
381,1,2022,6642,7.010856454
382,1,2022,2854,7.110795455
383,1,2022,9563,6.895953757
384,1,2022,9391,7.204545455
385,1,2022,3021,6.965699208
386,1,2022,3159,6.853233831
387,1,2022,1763,6.744493392
388,1,2022,1821,6.849137931
389,1,2022,3213,7.13164557
390,1,2022,14810,6.551564905
391,1,2022,4417,7.065813528
392,1,2022,1553,7.046632124
393,1,2022,2127,7.572580645
394,1,2022,2691,6.361643836
395,1,2022,1247,6.739130435
396,1,2022,4101,6.790874525
397,1,2022,4156,6.625688073
398,1,2022,2854,7.011235955
399,1,2022,5892,7.30606488
400,1,2022,2255,6.592592593
401,1,2022,930,6.388888889
402,1,2022,1466,6.502564103
403,1,2022,1248,6.335294118
404,1,2022,1611,6.58490566
405,1,2022,908,6.956140351
406,1,2022,1150,6.532894737
407,1,2022,596,7.277777778
408,1,2022,2434,6.947712418
409,1,2022,6283,7.166449935
410,1,2022,2655,7.392405063
411,1,2022,4240,7.076335878
412,1,2022,1063,6.808823529
413,1,2022,2114,7.326771654
414,1,2022,2103,6.6996337
415,1,2022,2672,7.530351438
416,1,2022,2115,7.456
417,1,2022,4173,6.200345423
418,1,2022,1471,6.951351351
419,1,2022,2658,6.115281501
420,1,2022,740,6.882978723
421,1,2022,2392,7.505376344
422,1,2022,1306,6.320224719
423,1,2022,9526,7.25151778
424,1,2022,1837,6.85042735
425,1,2022,1804,7.013333333
426,1,2022,2309,6.989619377
427,1,2022,2188,7.077490775
428,1,2022,1452,6.413265306
429,1,2022,1192,6.339506173
430,1,2022,3964,7.414012739
431,1,2022,2115,6.496453901
432,1,2022,3210,6.716346154
433,1,2022,11228,7.273800738
434,1,2022,951,6.731707317
435,1,2022,2808,7.241176471
436,1,2022,627,7.236842105
437,1,2022,2064,6.501818182
438,1,2022,4108,7.630252101
439,1,2022,1036,7.214285714
440,1,2022,6772,6.753722795
441,1,2022,1046,7.100775194
442,1,2022,4606,7.031413613
443,1,2022,1919,4.940993789
444,1,2022,10542,6.406184118
445,1,2022,5714,7.220461095
446,1,2022,1812,7.716346154
447,1,2022,1681,6.892018779
448,1,2022,740,6.608247423
449,1,2022,1269,6.690909091
450,1,2022,10175,6.177510608
451,1,2022,1510,6.649746193
452,1,2022,2306,6.661129568
453,1,2022,1018,6.953125
454,1,2022,4430,6.960431655
455,1,2022,3483,7.325358852
456,1,2022,4183,6.881132075
457,1,2022,2316,7.010380623
458,1,2022,4905,6.576506955
459,1,2022,856,6.50877193
460,1,2022,2550,6.656626506
461,1,2022,1244,7.405405405
462,1,2022,3474,7.313397129
463,1,2022,2739,6.604456825
464,1,2022,1869,6.383399209
465,1,2022,1336,6.807017544
466,1,2022,927,6.914529915
467,1,2022,2688,6.976261128
468,1,2022,2969,6.875331565
469,1,2022,623,6.873417722
470,1,2022,2245,6.978647687
471,1,2022,1353,6.797687861
472,1,2022,1258,7.331125828
473,1,2022,997,6.669230769
474,1,2022,1709,7.018779343
475,1,2022,362,6.680851064
476,1,2022,1601,6.881773399
477,1,2022,361,6.541666667
478,1,2022,1187,5.748571429
479,1,2022,1580,7.377659574
480,1,2022,3008,6.81038961
481,1,2022,1130,7.195652174
482,1,2022,3545,6.534042553
483,1,2022,908,7.227272727
484,1,2022,1096,7.103703704
485,1,2022,18815,6.745881384
486,1,2022,1452,6.843243243
487,1,2022,2994,6.392592593
488,1,2022,1877,7.300884956
489,1,2022,1792,7.248847926
490,1,2022,3791,6.671399594
491,1,2022,8778,7.242709313
492,1,2022,2731,7.663492063
493,1,2022,970,7.211864407
494,1,2022,2691,6.685714286
495,1,2022,1033,7.330645161
496,1,2022,2267,6.632996633
497,1,2022,2360,7.078767123
